text_id	text	task_1	task_2	task_3
hasoc_en_880	doctors in huge numbers protesting against cm in kolkata govt had threatened doctors as a result nationwide protest began didivsdoctors westbengal doctorsfightback saturdaymotivation electionfacts doctorsprotest	NOT	NONE	NONE
hasoc_en_881	pete whatever is trumps kind of guy trumpisacheater trumpmustresign trumpisatraitor	NOT	NONE	NONE
hasoc_en_882	i hope you blocked him dickhead	NOT	NONE	NONE
hasoc_en_883	this man completely nailed mamata, her politics and her hypocrisy. doctorsfightback	NOT	NONE	NONE
hasoc_en_884	truth trumpisatraitor cant wait to seehiminhandcuffs	NOT	NONE	NONE
hasoc_en_885	we also need to address glaring gaps in our public health care system by overseeing staffing,funding,over working by doctors to iron out issues. doctorsprotest doctorsfightback	NOT	NONE	NONE
hasoc_en_886	unlike your absolute, real and physical act of treason..! trumptreason trumprussia trumpisatraitor trumptraitor	NOT	NONE	NONE
hasoc_en_887	trumpisatraitor he said himself he would listen to foreign countries for information on opponents. whattrueamericandoesthat	NOT	NONE	NONE
hasoc_en_888	oh dear god. boris?. he cannot even employ a decent hair dresser. he will be in charge of appointing people to key positions like defence. i have a blow up dingy at the ready. the last person he spoke up for as foreign minister got additional time. borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_889	mystery in paradise suspicious deaths in dominicanrepublic resorts lead american travelers to cancel their trips new york daily news serial murderers	NOT	NONE	NONE
hasoc_en_890	pakistan team praying for rain on sunday against india because baap rocks on fathers day shameonicc	NOT	NONE	NONE
hasoc_en_891	thanks for the memories fucktrump	NOT	NONE	NONE
hasoc_en_892	latest pics coming out of uk early morning practice seasons by players!! shameonicc	NOT	NONE	NONE
hasoc_en_893	dear please take cognizance of this offensive practice. why should the minor rapesurvivor and her family organise feast in the village? victim and her family is further victimised here. rajgarh dist madhyapradesh the need to punish the rapist is important	NOT	NONE	NONE
hasoc_en_894	just show ur patriotism on ground against pak we all indians more happy than just wearing glove ,dont behave like politician ,win a true salute to martyer dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_895	dhoni the mr. cool of indian cricket was forced to remove his gloves but he didnt say anything. he is such an ambassador for cricket. and the entire nation is behind him in all of his decisions dhonikesaathdesh dhonikeepstheglove iccworldcup2019	NOT	NONE	NONE
hasoc_en_896	precollusion? trumpisatraitor	NOT	NONE	NONE
hasoc_en_897	found this old gem 2ndamendment bernie2020 trumpisatraitor gop democrats	NOT	NONE	NONE
hasoc_en_898	douchebag of the rebooted 1930s national democrat socialist workers party amp fakenews w comrads amp his floating device . presidential	NOT	NONE	NONE
hasoc_en_899	doctorsfightback the core demand is security, including cctvs, security personnel, restricting entry, improving patientdoctor relationship perhaps with counselling centres. and cm should apologise dr swati and dr priyanshu from resident doctors association, aiims	NOT	NONE	NONE
hasoc_en_900	gavaskar sir, i am a proud son of a soldier who served his motherland, being a defence lad i personally feel that if has to put his gloves off just because it has a sign of army crest its a shame on india..no true indian will bare this.. jaihind dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_901	its national john mccain day!!! june14johnmccainday johnmccainday johnmccain fucktrump toilettrump	NOT	NONE	NONE
hasoc_en_902	boris in hiding, if boris frightened of his rank amp file tory members how will he fight a ge hiding in downing st if he wins. bbcpapers skypapers toryleadershipcontest toryleadership borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_903	tomorrows match has 70 chance of being washed out. shameonicc	NOT	NONE	NONE
hasoc_en_904	thanks to all who have followed me. i promise to follow back, but need to get my followed list culled. im working on it! thank you for your patience. trumpisatraitor	NOT	NONE	NONE
hasoc_en_905	cricnshow cricket world cup updates ind vs nz match calle... shameonicc indvsnz cwc19	NOT	NONE	NONE
hasoc_en_906	na speaker directs immediate arrest of murderer of three real brothers appnews via	NOT	NONE	NONE
hasoc_en_907	i can say it, but im not going to say it, but many many people are saying fucktrump . but i didnt say it, im just quoting other people.	NOT	NONE	NONE
hasoc_en_908	halsey pays tribute to assaulted lesbian couple, rips straight pride parade during london concert resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_909	duncan hunters wife pleads guilty to conspiring with husband to use campaign funds for personal use resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_910	twitter is researching whether or not they should allow white nationalists to send racist tweets resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_911	yuvarajsingh yuaraj singh replacement wold cup 2019 ??? cwc19 iccworldcup2019 india icccricketworldcup2019 viratkohli dhonikeepstheglove bcci	NOT	NONE	NONE
hasoc_en_912	mps who blindly support a loser borisjohnsonshouldnotbepm without evidence will ultimately have to face the electorate. do they think is worth them losing their seats to other parties?	NOT	NONE	NONE
hasoc_en_913	read everything about dhonis army insignia gloves here cricketworldcup dhoniatcwc19 dhonikeepstheglove dhonikesaathdesh dhonikeepbalidaanbadgeglove	NOT	NONE	NONE
hasoc_en_914	shameonicc icc want something fast and result some one meet yamdut worldcup2019	NOT	NONE	NONE
hasoc_en_915	imagine this. there are some patriots keeping out secrets from reaching russia. trumpisatraitor	NOT	NONE	NONE
hasoc_en_916	aiims delhi doctor continues protest against bengal violence wearing helmet in viral photo bengalburning doctorsfightback savebengal savethedoctors	NOT	NONE	NONE
hasoc_en_917	sequence of events. pic 1 mamata issuing ultimatum to striking doctors, to end the strike within 4 hours. pic 2 seeks report pic 3 during the call... doctorsfightback doctorstrike	NOT	NONE	NONE
hasoc_en_918	hp deskjet 1115 single function ink advantage printer rs.2199 apply rs.300 coupon mrp3318 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall	NOT	NONE	NONE
hasoc_en_919	vote johnson, get james cleverly doing pmqs for him every week. wheresboris borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_920	now entire world know about balidan symbol... because of this controversy msdhonigloves cwc19 dhonikeepstheglove india cricket gautamgambhir news	NOT	NONE	NONE
hasoc_en_921	too puffed up to debate borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_922	looking desperately for that attention he craves fuckoff shitbag dickhead	HOF	PRFN	TIN
hasoc_en_923	we are with you dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_924	susan wright murdered her husband in 2004, she stabbed him 193 times and buried him under the patio. read more at truecrime blog killer murderer crime murder	NOT	NONE	NONE
hasoc_en_925	mp subhash chndra medical college doctor from scheduled tribe community in madhya pradesh beaten up by the relatives of patients who wanted upper caste doctor. doctorsfightback doctorsprotest	NOT	NONE	NONE
hasoc_en_926	we support doctors movement against violence. its time to show unity and fight for physical violence against doctors. lets come together and build a healthy patientdoctor relationship. treatusashumans savethesaviour doctorsfightback stand_with_nrs savedoctors	NOT	NONE	NONE
hasoc_en_927	indiawithdhoni as same as also has to be with india no?! he should wear the or boycott for the nation first concept! we want that! dhonikeeptheglove dhonikeepstheglove dhoni dhonikesaathdesh dhonikesathdesh go f	NOT	NONE	NONE
hasoc_en_928	but what happened to the attackers? have they been arrested for attempt of murder or not? doctorsfightback	NOT	NONE	NONE
hasoc_en_929	oh and if you dont know now you know... fucktrump amp thisadministration	NOT	NONE	NONE
hasoc_en_930	dhonikeepstheglove we r proud of u msd ..	NOT	NONE	NONE
hasoc_en_931	so based on your story this is what we have to look forward to... borisjohnsonshouldnotbepm toryleadership cartoon caricature comedypm wearedoomed borisjohnson channel4debate	NOT	NONE	NONE
hasoc_en_932	borisjohnsonshouldnotbepm ... but the other candidates are not much better. they are tories, and tories will never address the problems the uk faces, the problems which will get so much heartbreakingly worse if brexit goes ahead.	NOT	NONE	NONE
hasoc_en_933	supporting all the doctors in the country, you deserve better and higher levels of appreciation take a bow you all. savethedoctors protectdoctors doctorsfightback doctorsstrike mci neet	NOT	NONE	NONE
hasoc_en_934	ted cruz floats another theory of how twitter is censoring conservatives resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_935	whether authorities classify an act as terrorist depends almost entirely on who carries it out, not what they did terrorism bias antimuslim islamophobia	NOT	NONE	NONE
hasoc_en_936	aiims doctors go on strike. it is but important to make a point. i standwithdoctors against violence. doctorsfightback	NOT	NONE	NONE
hasoc_en_937	when i saw world cup opening seremony, i realised how much icc prepared for world cup and how is enthusiasm of england about cricket. shameonicc	NOT	NONE	NONE
hasoc_en_938	trumps speech is toneddown, but hes still criticizing democrats resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_939	so what?? who ask them to the schedul world cup in ?? they know every thing shameonicc	NOT	NONE	NONE
hasoc_en_940	the gop has jettisoned principle, patriotism amp honor. americans of goodwill must run trumps party out of power up amp down the ticket in 2020 amp shun those who carried their water when the country needed truthtellers. trumpisatraitor complicitgop	NOT	NONE	NONE
hasoc_en_941	nothing says gods blessing like getting even. murderer	NOT	NONE	NONE
hasoc_en_942	england team wears poppies red flower symbolwhich honours war dead, on the right collar of their shirts in the first test against india in rajkot why dhoni is being stopped to wear a symbol for martyrs dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_943	rules are meant to be broken. i guess doesnt even know the power of india. soon they will know dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_944	how does a piece of shit like have followers? ojsimpson murderer	HOF	PRFN	TIN
hasoc_en_945	oh god borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_946	alabama did nothing about the rapist. the court is ordering the victim to allow visitationrights or she goes to jail. rapists who created the children gets nothing. vicitim parentforced to bare themgoes to jail. alabama enforces sharialaw.	NOT	NONE	NONE
hasoc_en_947	no matter what, dhoni should stand his ground. he is not violating any rule. if so, let announce indian paramilitary as a sponsor and have the balidhaan insignia on the shirts of our entire team dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_948	listening to derangeddonald go off on germany, bitching about the iran deal, making shit up about venezuela, and how hes always right. how in the living fuck did we get into this mess? fucktrump	HOF	PRFN	TIN
hasoc_en_949	unbelievable. our government actually wants you to let people die. i fucking despise trump and the crime syndicate republican party. its all just sickening! fucktrump fuckthegop onmythirdbeer	HOF	PRFN	TIN
hasoc_en_950	humble request to our to take the action against wrong doing of doctorsfightback doctorsprotest doctors_against_assualt you should resign.	NOT	NONE	NONE
hasoc_en_951	is lt. colonel and he has right to wear that balidan badge glove...india is proud of . dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_952	shameonicc new logo	NOT	NONE	NONE
hasoc_en_953	happy johnmccainday to all true patriots who celebrate. trumpisatraitor	NOT	NONE	NONE
hasoc_en_954	you broke our hearts juice. murderer	NOT	NONE	NONE
hasoc_en_955	latenight thinks trump must be confused about collusion resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_956	charlie sykes with the happyjohnmccainday shoutout. realtime fucktrump	NOT	NONE	NONE
hasoc_en_957	shameonicc sometimes i wonder that even after having so much technology satellites at our service, still cricket has not been able to modernise itself with the times.this cwc19 should serve as an eye opener for the authorities. weather, umpiring should not b d talking point.	NOT	NONE	NONE
hasoc_en_958	dragging religious matters to defend another point is not a proper way i support dhoni fully hes pride of our country dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_959	doctors at cuttack district headquarters hospital wear black badges to express solidarity with their counterparts protesting violence against some junior doctors in west bengal doctorsfightback doctorsstrike	NOT	NONE	NONE
hasoc_en_960	in the midst of dhonikeepstheglove crisis, heads to ayodhya. must say , its deeply moving to see how so many hindu seers in the temple town talk about the love for lord ram . hope issue is resolved soon. rammandir	NOT	NONE	NONE
hasoc_en_961	doctors of jipmer, pondicherry stand with nrsmch. we are on a strike today so that such violence against doctors does not happen in the future. savethedoctors doctorsstrike doctors_against_assualt doctorsfightback	NOT	NONE	NONE
hasoc_en_962	goes on israeli news channel to announce her new antimuslim documentary, then gets taken down by the former israeli ambassador to france, daniel shek and the shows host, who highlights the rise in antimuslim hate crimes in the uk.	NOT	NONE	NONE
hasoc_en_963	rangzen people, we have to do whatever is possible to stop this fake activist from sabotaging our freetibet movement. tibetans humanrights boycottchina dharamsala march10 tibetan dalailama tibetcause	NOT	NONE	NONE
hasoc_en_964	mothers ruin these are the three types of mums most likely to raise a murderer is yours one of them? mother doesnt always know best... about raising a son who wont end up killing scores of people in a fit of rage or sexual frenzy	NOT	NONE	NONE
hasoc_en_965	icc doesnt plan for chanpionship trophy. but what they planned was, to show 10 teams how rainy season look like in england shameonicc	NOT	NONE	NONE
hasoc_en_966	i am so happy to have this opportunity to tell you what a mephitic shitrendous soulless ball sac you are. murderer	HOF	PRFN	TIN
hasoc_en_967	dhonikeepstheglove irony is that some swines in india are also saying rule are rules, what an idiots, but the fact is is unnecessarily politicising this and raising as an issue.	NOT	NONE	NONE
hasoc_en_968	when she said that, i lost my shit! what if that was my boy? i still cant wrap my mind around what those kids amp their loved ones went through. im proud as hell of centralpark5 for standing their ground! disgusted it took so long for true justice amp compensation! fucktrump	NOT	NONE	NONE
hasoc_en_969	story of simon magus in the bible acts 8725 the following are modernday simon magus sorcerer examples david blaine celebrity magic compilation 1. perfume the story of a murderer 2006 2.	NOT	NONE	NONE
hasoc_en_970	why double standards, how can you allow players to pray on the field. where are your rules dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_971	funny video of conservative pundits awkwardly criticizing the metric system resist resisttrump fucktrump	NOT	NONE	NONE
hasoc_en_972	totally washed out due to that rain reason. u r fucking guys y u r keeping this world cup in england ... i know its a developed country , but for sports full of unhappiness..so go and sit in the room and watching tv thats the only work u r always doing shameonicc mother fuck	HOF	PRFN	TIN
hasoc_en_973	idiottrumps federalbudget deficit skyrocketed to 207.8 billion in the month of may maga trumpsworsethannixon	NOT	NONE	NONE
hasoc_en_974	wpmotclassic some things never change! repost profthuggy whats pissing me off today? shittiest person in the world, jr. donaldtrumpjr donnietrump fucktrump trophyhunter trophyhunting cobrakai	HOF	OFFN	TIN
hasoc_en_975	stop givingojattention murderer	NOT	NONE	NONE
hasoc_en_976	new logo for world cup designed by icc shameonicc	NOT	NONE	NONE
hasoc_en_977	a billion cricket fans waited four years to watch how it rains in england shameonicc cwc19	NOT	NONE	NONE
hasoc_en_978	these lame wherescory photo ops are becoming like a parody account, given rome is burning as you tweet. copolitics trumpisatraitor	NOT	NONE	NONE
hasoc_en_979	barbers club black charcoal peel off mask with honey, 60g rs.173 mrp599 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall	NOT	NONE	NONE
hasoc_en_980	even you havent crashed the market and you bankrupted casinos. i do know that the national debt is at an all time high and you dont reimburse people who loan you money. trumpisatraitor donthecon	NOT	NONE	NONE
hasoc_en_981	india, do not listen to any sane voice right now. listen to your media and force your team to boycott this world cup!!! dhonikeeptheglove dhonikeepstheglove dhonikeepthegloves dhonigloves dhoni	NOT	NONE	NONE
hasoc_en_982	prison would be too good for him. toryscum murderer grenfell	NOT	NONE	NONE
hasoc_en_983	doctorsfightback doctorsprotest india junior doctors in telangana hold protests in support of west bengal doctors india today westbengal	NOT	NONE	NONE
hasoc_en_984	well done and thank you confused by boris johnsons bluster? weve translated his launch speech, so you dont have to. borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_985	truth from russia with love fucktrump	NOT	NONE	NONE
hasoc_en_986	kind of waiting what meal your president is going to offer you. bet my life is not a bigmac. fucktrump	NOT	NONE	NONE
hasoc_en_987	pm has achieved the 34th of the objective he had set himself. the remaining 14th rahulgandhi has embarked upon fulfilling it. what mk gandhi failed to have done rahul will achieve. congressmuktbharat	NOT	NONE	NONE
hasoc_en_988	trumpisatraitor . the end	NOT	NONE	NONE
hasoc_en_989	impeach donald trump. itmfa complicitgop fucktrump	HOF	HATE	TIN
hasoc_en_990	johnmccainday thanks for fund raising on the promise of obamacare repeal from republican voters only to screw them over by deciding it was more important to put yourself first just to screw trump in a personal vendetta. preciate it. americafirst douchebag	NOT	NONE	NONE
hasoc_en_991	before you say shameonicc please look at those grounds in england and imagine how difficult it was to design cover for grounds with such weird shape.	NOT	NONE	NONE
hasoc_en_992	it look like the rain is granting chivalry to icc board for arrangements shikhar dhawan is the only one to enjoy it. wc2019 indvpak for arrangements shameonicc	NOT	NONE	NONE
hasoc_en_993	fuck trump. fucktrump	HOF	PRFN	TIN
hasoc_en_994	happy johnmccainday trumpisatraitor guiltyassin whoremonger liarinchief derangeddonald billiondollarloser lowiqtrump draftdodger presidentbonespurs aryanagentorange nervousdonald	NOT	NONE	NONE
hasoc_en_995	better watched your head. murderer	NOT	NONE	NONE
hasoc_en_996	dear icc, focus on match venue not on dhonis gloves! indvnz engvwi shameonicc rainstopsmatch englands rainy weather is putting a damper on cricket fans moods	NOT	NONE	NONE
hasoc_en_997	any kids rapist should be given capital punishment .	NOT	NONE	NONE
hasoc_en_998	isupportsarabjeetsingh and yeah fuckdelhipolice	HOF	PRFN	TIN
hasoc_en_999	imranhataomulkbachao inshaallah we will be supporting our chairman and in every protest against this awamdushman, nalahiq niazi..!	NOT	NONE	NONE
hasoc_en_1000	icc is trying their best to stop dhoni from showing his love to army.dhoni should retaliate by donating his one year income to indian army. cwc19 dhonikeepstheglove dhonikeepthegloves dhonikesaathdesh	NOT	NONE	NONE
hasoc_en_1001	doctorsfightback parents reaction when a doctor returns home safely in bengal...	NOT	NONE	NONE
hasoc_en_1002	fridayfeeling blaming joe biden? proves youre truly deplorable. best of luck. fucktrump, fuckthegop and fucktrumpsupporters. democrats have a healthcare plan. republicans have a dontcare plan.	HOF	PRFN	TIN
hasoc_en_1003	we stand with infact indiastandswithdhoni dhonikeepstheglove indiastandswithdhoni	NOT	NONE	NONE
hasoc_en_1004	tripura doctors protest in solidarity with doctors in west bengal justice4drparibaha doctorsfightback	NOT	NONE	NONE
hasoc_en_1005	what rules you are referring? rules of having namaz in the play ground? we can understand your feeling. biasedicc dhonikeeptheglove indiastandswithdhoni dhonikesaathdesh dhonikeepstheglove dhonigloves	HOF	HATE	TIN
hasoc_en_1006	this man completely nailed mamata, her politics and her hypocrisy. doctorsfightback	NOT	NONE	NONE
hasoc_en_1007	thanks for covering this. for years the working conditions at the government run hospitals remained the same. being an alumni from kolkata i feel sorry for my medical friends, seniors and juniors. we support you doctorsfightback	NOT	NONE	NONE
hasoc_en_1008	yo, fuuuuuuuuuuuuuuuuuuuuuuuuuuuuck trump. yalls president is trash!!!!!! impeachtrump fucktrump	HOF	PRFN	TIN
hasoc_en_1009	belgian backpacker reveals how gumtree rapist lured her into shed and kept her hostage jun 16 1050 am et	NOT	NONE	NONE
hasoc_en_1010	dear icc, please dont forget that bcci is your father..... so,mind on your business.... do better umpiring.... dhonikeepstheglove dhonikeepstheglove	HOF	HATE	TIN
hasoc_en_1011	a billion cricket fans waited four years to watch how it rains in england shameonicc	HOF	HATE	TIN
hasoc_en_1012	this is the man that you think will make a great pm for fucks sake, god help us borisjohnsonshouldnotbepm toryleadershipcontest	HOF	PRFN	TIN
hasoc_en_1013	poorest management of cwc19 need to change venues please take a look of geographical and environmental conditions not only on gloves..... shameonicc	HOF	HATE	TIN
hasoc_en_1014	and the protest is on doctorsfightback doctorsstrike doctors_against_assualt	NOT	NONE	NONE
hasoc_en_1015	nation demand justice for twinkle sharma watch live at sudarshan news bindasbol twinklesharma justicefortwinkle justicefortwinklesharma pakvsl dhonikeepstheglove dhonikesaathdesh indiawithdhoni	NOT	NONE	NONE
hasoc_en_1016	mck 11.35 a.m mass resignations begin at r.i.o. faculty members said the entire dept. will file mass resignations at 2.00 p.m. after filing their resignations at the directors office. they stand in complete solidarity with our protests. doctorsfightback savethedoctors	NOT	NONE	NONE
hasoc_en_1017	looks like somebody doesnt understand what treason is. trumpisatraitor trumptantrum impeachtrumpnow	HOF	HATE	TIN
hasoc_en_1018	racisttrump retweets antimuslim extremist amp gets exactly what he deserves trumpisatraitor	HOF	HATE	TIN
hasoc_en_1019	because dictators love stupid populations right trumptrain? trumpisatraitor	HOF	HATE	TIN
hasoc_en_1020	no less than he deserves. boris johnson or boorish johnson as i call him is unfit to be our next prime minister. toryleadershipcontest c4debate lobbyhustings borisjohnsonshouldnotbepm borisischicken	HOF	HATE	TIN
hasoc_en_1021	labour mp wes streeting listed on twitter the various occasion boris johnson made fantasy claims, broke promises and launched expensive vanity projects as mayor of london. time to factcheck boris johnsons mayoralty. borisjohnsonshouldnotbepm	HOF	HATE	TIN
hasoc_en_1022	nothing wrong in wearing the proud badge.. icc have to consider... dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_1023	so basically does not tell the truth. not only does he not tell the truth, he made promises that he came nowhere close to delivering and does not seem to care. what is his motivation? it is unlikely to be your welfare. borisjohnsonshouldnotbepm	HOF	HATE	TIN
hasoc_en_1024	the ima has announced strike, just note the date 17 june. the ultimatum given by mamtabanerjee is only of 4 hours, i would like to inform that it will go beyond the time limit. be ready..... doctorsonstrike doctorsfightback	NOT	NONE	NONE
hasoc_en_1025	uh. no. fucktrump he thought hed make it big, he had no intention of losing any money and if he has, it was because he exposed himself as the conman most of us knew he is. these two assholes are either conned or are conmen themselves.	HOF	PRFN	TIN
hasoc_en_1026	msd on glove row will stick to iccs rules thank you for following the rules and keeping cricket, exactly what it is, a sport! desh bhakti dikhaneke aur bhi tareeke hai cwc19 dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_1027	people think rohit steal the show. but they dont know, what happen after that dhonikeepstheglove cwc2019 cwc19 worldcup2019	NOT	NONE	NONE
hasoc_en_1028	doctorsfightback is trending at number 1 on twitter. it took half a decade of writing posts as a blogger and pleading as a doctor on social media to finally see this one moment when the twitterverse is supporting doctors protesting against violence.	NOT	NONE	NONE
hasoc_en_1029	doctorsstrike chief minister mamata banerjee extends olive branch to doctors, invites them to meet her on saturday to end stir. savebengal doctorsfightback	NOT	NONE	NONE
hasoc_en_1030	fucktrump another onery dem.....	HOF	PRFN	TIN
hasoc_en_1031	mard spokesperson deepak munde, 27, said the government needs to spend more on healthcare mumbainews doctorsprotest savethedoctors doctorsfightback	NOT	NONE	NONE
hasoc_en_1032	stand with u.. dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_1033	india went to play the world cup not on war. its better to follow the rule of icc and stay away from controversy to be focused on game..!! bcci balidanbadge dhonikesaathdesh dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_1034	this world cup 19 should be ban !! rain rain rain motherfuckerr icc shift this world to another country or ban this world cup 19 shameonicc	HOF	PRFN	TIN
hasoc_en_1035	progressive group wants dems to investigate kavanaugh for perjury gangrapes christineblaseyford brettkavanaugh rape rapist brettkavanaughrapist	HOF	HATE	TIN
hasoc_en_1036	would be better off with this pornhub firstladydoesdallas freeblowjobs fucktrump classy resist trumptantrum jackieo lookmomnohands skillsandthrills voteblue deepthroatchampion disneyland	HOF	PRFN	TIN
hasoc_en_1037	time to win , guessandwin galaxym40 omg . know more here.... dhonikesaathdesh indiawithdhoni wwessd dhonikeepstheglove bharatroarsonday3 samsungm40 samsung saturdaymorning saturdaymotivation cwc19 bharatblockbuster amazonin slvpak	NOT	NONE	NONE
hasoc_en_1038	farewell sarahhuckabeesanders! your lies for the asshole potus will never be missed. gladyourgone fucktrump	HOF	PRFN	TIN
hasoc_en_1039	mahendra singh dhonis love for the nation, armed forces and soldiers has been intact which is truly commendable. he is nations hero. no one represents our country better than him. i stand with dhonikeepstheglove dhonikesaathdesh indiawithdhoni indiawithdhoni	NOT	NONE	NONE
hasoc_en_1040	please read amp retweet so that this can reach to maximum people ! savethedoctors savebengal doctorsstrike doctorsfightback	NOT	NONE	NONE
hasoc_en_1041	onlineshoppee cube floating wall shelf, set of 6 rs.999 mrp2980 more doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall	NOT	NONE	NONE
hasoc_en_1042	trumpisatraitor sick fks	HOF	PRFN	TIN
hasoc_en_1043	proud of paramilitary forces and proud of dhoni dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_1044	pull out of world cup dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_1045	happy birthday you racist dumbass!!! im having tacos for lunch in your honor. and heres a picture of your favorite senator. trumpisatraitor trumpsucks	HOF	HATE	TIN
hasoc_en_1046	thats really clever. have you ever thought of writing something dickhead auspol	HOF	PRFN	TIN
hasoc_en_1047	yesterday congress blood donations are necessary blah blah blah today congress snubbed on injustice on doctors in wb shame on u so called national opposition thuuuuuuu congress westbengal doctorsfightback doctorsprotest soniagandhi rahulgandhi priyankagandhi	HOF	HATE	TIN
hasoc_en_1048	who will win in cardiff ? cwc19 engvban england bangladesh englandfans cricketworldcup2019 dhonikeepstheglove dhonikesaathdesh indiawithdhoni wwessd knackdhanushbirthdayin50days nationalfishandchipday frenchopen loveisland dday75 riseofthetigers bcb	NOT	NONE	NONE
hasoc_en_1049	indvaus ausvind dhonikeepstheglove cwc19 who else????? like... if you as well	NOT	NONE	NONE
hasoc_en_1050	dickhead should just fuck kim jong un already amp get it off his chest !	HOF	PRFN	TIN
hasoc_en_1051	so will indvaus be with balidanbadge glove or it will be balidan of feelings of msdhoni... dhonikeepstheglove or icc prevails... cwc19 iccwc2019 jo bhi ho all india wants is victory in ausvind match... indiawithdhoni meninblue	NOT	NONE	NONE
hasoc_en_1052	official press release of savethesaviours movement. these are the demands for resuming all duties. doctorsfightback savethedoctors savethesaviours	NOT	NONE	NONE
hasoc_en_1053	today the only bigger question in cricket fans mind than who will win indvsaus match is which gloves will use? dhonikeepstheglove msd iccwc2019 cricketworldcup2019	NOT	NONE	NONE
hasoc_en_1054	when you really like a certain celebrity and then they come out as an antivaxxer how embarrassing dickhead	HOF	PRFN	TIN
hasoc_en_1055	should be brought under goi control. full of corrupt, compromised cowards who for the sake of money always letting us patriots down. failed to take headon in this matter of national pride. shame!!. dhonikeepstheglove	HOF	HATE	TIN
hasoc_en_1056	assange is not a rapist	NOT	NONE	NONE
hasoc_en_1057	no shit, sherlock! fuckfacevonclownstick wants impeachment. . .its more attention and he can play poor me. fucktrump	HOF	PRFN	TIN
hasoc_en_1058	this is getting bigger! dr. plaban mukherjee the first cardiologist to carry out a successful heart transplant in a govt. medical hospital in india amp east india resigns. savethedoctors doctorsfightback	NOT	NONE	NONE
hasoc_en_1059	this is the day that reminds the world that should have been aborted. fucktrump and while im at it fuck for being a whore that fucks this piece of after birth abortion	HOF	PRFN	TIN
hasoc_en_1060	the offiical press release by doctors savethedoctors doctorsfightback	NOT	NONE	NONE
hasoc_en_1061	sit his ass down! tape his fingers and ducttape his mouth. then throw him in a cage with the immigrants. problem solved! such a vision. america, free of trump. darn, i just woke up. dems will do nothing. fucktrump fuckgop fuckcivility impeachmentinquirynow	HOF	PRFN	TIN
hasoc_en_1062	oye!!!, islamic cricket council aka icc ban this thing too watch video. also stop eating lays chips all the time, do some constructive work. cwc19 dhonikeeptheglove dhonikeepstheglove dhonikesaathdesh dhonigloves iccworldcup iccversusindia	HOF	HATE	TIN
hasoc_en_1063	i love you london!!!! thank you for your support!!! fucktrump trumpvaginaneck impeachthemotherfucker	HOF	PRFN	TIN
hasoc_en_1064	a very good initiative taken by by filing pil against mansoor khan founder and director of ima group. may allah help you brother and may everyone get their hard earned money back. imajewels imafraud ima imafraudcase	NOT	NONE	NONE
hasoc_en_1065	we hold scalpel to operate and cure not guns to treat mankind insecure we give painkillers to reduce your pain not wound to make you blood stained we cure secure and serve as true nationalist we are doctors not terrorists ! doctorsfightback	NOT	NONE	NONE
hasoc_en_1066	embassies worldwide are defying trump amp flying the pride flag without permission. gotta love that fucktrump attitude	NOT	NONE	NONE
hasoc_en_1067	fucktrump breaking trump asserts executive privilege to block access to census documentspresident don via for ios	NOT	NONE	NONE
hasoc_en_1068	rallies will be held across us tomorrow for impeachment of . check local grassroots for details. prove that we do not tolerate the hatred that has crippled this country impeachtrump impeach45 fucktrump notmypresident collusion traitor criminal	HOF	OFFN	TIN
hasoc_en_1069	if you can tweet for syria and paris . why not for doctors of your own country ? such a shame that cm of bengal is doing injustice to doctors and the normal public is silent. doctorsfightback savethesaviour	NOT	NONE	NONE
